# M3-1(F1-2) 경험치 곡선 — data_tables.md §4 스펙. exp_to_next=round(20*level^1.5), 레벨50=0(만렙).
# hp_bonus/atk_bonus는 characters.json 도입 전 캐릭터 공통 잠정값(D-149, _balance_todo) — 도입 시 캐릭터별로 이관.
level,exp_to_next,hp_bonus,stamina_bonus,atk_bonus
1,20,8,0,1
2,57,8,0,1
3,104,8,0,1
4,160,8,0,1
5,224,8,0,1
6,294,8,0,1
7,370,8,0,1
8,453,8,0,1
9,540,8,0,1
10,632,8,0,1
11,730,8,0,1
12,831,8,0,1
13,937,8,0,1
14,1048,8,0,1
15,1162,8,0,1
16,1280,8,0,1
17,1402,8,0,1
18,1527,8,0,1
19,1656,8,0,1
20,1789,8,0,1
21,1925,8,0,1
22,2064,8,0,1
23,2206,8,0,1
24,2352,8,0,1
25,2500,8,0,1
26,2651,8,0,1
27,2806,8,0,1
28,2963,8,0,1
29,3123,8,0,1
30,3286,8,0,1
31,3452,8,0,1
32,3620,8,0,1
33,3791,8,0,1
34,3965,8,0,1
35,4141,8,0,1
36,4320,8,0,1
37,4501,8,0,1
38,4685,8,0,1
39,4871,8,0,1
40,5060,8,0,1
41,5251,8,0,1
42,5444,8,0,1
43,5639,8,0,1
44,5837,8,0,1
45,6037,8,0,1
46,6240,8,0,1
47,6444,8,0,1
48,6651,8,0,1
49,6860,8,0,1
50,0,8,0,1
